"index","id","age","gender","driving_experience","education","income","credit_score","vehicle_ownership","vehicle_year","married","children","postal_code","annual_mileage","vehicle_type","speeding_violations","duis","past_accidents","outcome"
"0","569520","3","0","0-9y","high school","upper class","0.6290273139","1","after 2015","0","1","10238","12000","sedan","0","0","0","0"
"1","750365","0","1","0-9y","none","poverty","0.357757117","0","before 2015","0","0","10238","16000","sedan","0","0","0","1"
"2","199901","0","0","0-9y","high school","working class","0.4931457852","1","before 2015","0","0","10238","11000","sedan","0","0","0","0"
"3","478866","0","1","0-9y","university","working class","0.2060128507","1","before 2015","0","1","32765","11000","sedan","0","0","0","0"
"4","731664","1","1","10-19y","none","working class","0.3883658882","1","before 2015","0","0","32765","12000","sedan","2","0","1","1"
"5","877557","2","0","20-29y","high school","upper class","0.6191273726","1","after 2015","0","1","10238","13000","sedan","3","0","3","0"
"6","930134","3","1","30y+","high school","upper class","0.4929435502","0","after 2015","1","1","10238","13000","sedan","7","0","3","0"
"7","461006","1","0","0-9y","university","working class","0.4686892974","0","after 2015","0","1","10238","14000","sedan","0","0","0","1"
"8","68366","2","0","20-29y","university","working class","0.5218149363","0","before 2015","1","0","10238","13000","sedan","0","0","0","0"
"9","445911","2","0","0-9y","high school","upper class","0.5615310319","1","before 2015","0","1","32765","11000","sedan","0","0","0","1"
"10","275820","3","1","30y+","high school","upper class","0.620361264","1","after 2015","1","1","10238","10000","sedan","6","2","7","0"
"11","521399","3","0","30y+","high school","upper class","0.7298308816","1","after 2015","1","0","32765","12000","sedan","4","0","0","0"
"12","429728","2","1","20-29y","high school","upper class","0.6370447436","1","before 2015","1","1","10238","8000","sedan","4","1","2","0"
"13","569640","0","0","0-9y","university","upper class","0.5912599717","1","before 2015","0","1","10238","","sedan","0","0","0","0"
"14","980181","1","1","10-19y","high school","middle class","0.461567963","1","before 2015","1","1","10238","12000","sedan","0","2","1","0"
"15","906223","1","0","0-9y","high school","upper class","0.7627979411","0","after 2015","1","0","10238","","sedan","0","0","0","0"
"16","517747","3","1","30y+","university","upper class","0.7961748462","1","before 2015","1","1","32765","","sedan","10","2","1","0"
"17","24851","0","1","0-9y","none","poverty","","0","before 2015","1","0","32765","12000","sedan","0","0","0","1"
"18","104086","1","0","0-9y","university","upper class","0.6805942795","1","before 2015","0","1","32765","","sedan","0","0","0","1"
"19","240658","0","0","0-9y","high school","working class","0.4177139816","1","before 2015","0","1","10238","18000","sedan","0","0","0","1"
"20","484399","0","0","0-9y","high school","working class","0.4095135307","0","before 2015","0","0","10238","17000","sedan","0","0","0","1"
"21","912828","0","1","0-9y","high school","middle class","0.5532600532","1","after 2015","1","1","32765","8000","sedan","0","0","0","1"
"22","892754","2","1","20-29y","none","poverty","0.3309502619","1","before 2015","1","1","10238","13000","sedan","3","1","1","0"
"23","217","0","1","0-9y","none","poverty","","0","before 2015","0","0","10238","17000","sedan","0","0","0","0"
"24","633896","3","1","30y+","high school","upper class","0.5006306604","1","before 2015","1","1","32765","7000","sedan","13","2","3","0"
"25","193110","1","0","10-19y","university","middle class","0.5519701814","1","before 2015","1","0","10238","14000","sports car","0","0","0","0"
"26","98515","2","1","10-19y","high school","middle class","0.6269960497","1","before 2015","0","0","10238","13000","sedan","1","1","0","0"
"27","165623","1","1","10-19y","none","poverty","0.2947974808","1","before 2015","1","0","10238","15000","sedan","0","0","1","0"
"28","493590","1","1","10-19y","university","middle class","0.5519504953","0","after 2015","0","0","10238","17000","sedan","0","0","1","0"
